region,harvest,site,treatment,distance,trap no,unique_transect_no,unique_trap_no,habitat,model type,predation,predation_2
West,Post-harvest,DF,Cropped,200,1,1,1,Remnant,Scented,No predation,0
West,Post-harvest,DF,Cropped,200,1,1,1,Remnant,Unscented,No predation,0
West,Pre-harvest,DF,Cropped,200,1,1,1,Remnant,Scented,No predation,0
West,Pre-harvest,DF,Cropped,200,1,1,1,Remnant,Unscented,Predation,1
West,Post-harvest,DF,Cropped,20,3,1,2,Remnant,Scented,No predation,0
West,Post-harvest,DF,Cropped,20,3,1,2,Remnant,Unscented,No predation,0
West,Pre-harvest,DF,Cropped,20,3,1,2,Remnant,Scented,Predation,1
West,Pre-harvest,DF,Cropped,20,3,1,2,Remnant,Unscented,No predation,0
West,Post-harvest,DF,Cropped,0,4,1,3,Edge,Scented,No predation,0
West,Post-harvest,DF,Cropped,0,4,1,3,Edge,Unscented,No predation,0
West,Pre-harvest,DF,Cropped,0,4,1,3,Edge,Scented,No predation,0
West,Pre-harvest,DF,Cropped,0,4,1,3,Edge,Unscented,Predation,1
West,Post-harvest,DF,Cropped,20,5,1,4,Matrix,Scented,No predation,0
West,Post-harvest,DF,Cropped,20,5,1,4,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Cropped,20,5,1,4,Matrix,Scented,No predation,0
West,Pre-harvest,DF,Cropped,20,5,1,4,Matrix,Unscented,No predation,0
West,Post-harvest,DF,Cropped,200,7,1,5,Matrix,Scented,No predation,0
West,Post-harvest,DF,Cropped,200,7,1,5,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Cropped,200,7,1,5,Matrix,Scented,No predation,0
West,Pre-harvest,DF,Cropped,200,7,1,5,Matrix,Unscented,Predation,1
West,Post-harvest,DF,Pasture,200,1,2,6,Remnant,Scented,No predation,0
West,Post-harvest,DF,Pasture,200,1,2,6,Remnant,Unscented,No predation,0
West,Pre-harvest,DF,Pasture,200,1,2,6,Remnant,Scented,No predation,0
West,Pre-harvest,DF,Pasture,200,1,2,6,Remnant,Unscented,Predation,1
West,Post-harvest,DF,Pasture,20,3,2,7,Remnant,Scented,No predation,0
West,Post-harvest,DF,Pasture,20,3,2,7,Remnant,Unscented,No predation,0
West,Pre-harvest,DF,Pasture,20,3,2,7,Remnant,Scented,Predation,1
West,Pre-harvest,DF,Pasture,20,3,2,7,Remnant,Unscented,Predation,1
West,Post-harvest,DF,Pasture,0,4,2,8,Edge,Scented,No predation,0
West,Post-harvest,DF,Pasture,0,4,2,8,Edge,Unscented,No predation,0
West,Pre-harvest,DF,Pasture,0,4,2,8,Edge,Scented,Predation,1
West,Pre-harvest,DF,Pasture,0,4,2,8,Edge,Unscented,No predation,0
West,Post-harvest,DF,Pasture,20,5,2,9,Matrix,Scented,No predation,0
West,Post-harvest,DF,Pasture,20,5,2,9,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Pasture,20,5,2,9,Matrix,Scented,No predation,0
West,Pre-harvest,DF,Pasture,20,5,2,9,Matrix,Unscented,Predation,1
West,Post-harvest,DF,Pasture,200,7,2,10,Matrix,Scented,No predation,0
West,Post-harvest,DF,Pasture,200,7,2,10,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Pasture,200,7,2,10,Matrix,Scented,Predation,1
West,Pre-harvest,DF,Pasture,200,7,2,10,Matrix,Unscented,Predation,1
West,Post-harvest,DF,Planting,200,1,3,11,Remnant,Scented,Predation,1
West,Post-harvest,DF,Planting,200,1,3,11,Remnant,Unscented,Predation,1
West,Pre-harvest,DF,Planting,200,1,3,11,Remnant,Scented,No predation,0
West,Pre-harvest,DF,Planting,200,1,3,11,Remnant,Unscented,No predation,0
West,Post-harvest,DF,Planting,20,3,3,12,Remnant,Scented,Predation,1
West,Post-harvest,DF,Planting,20,3,3,12,Remnant,Unscented,Predation,1
West,Pre-harvest,DF,Planting,20,3,3,12,Remnant,Scented,No predation,0
West,Pre-harvest,DF,Planting,20,3,3,12,Remnant,Unscented,Predation,1
West,Post-harvest,DF,Planting,0,4,3,13,Edge,Scented,No predation,0
West,Post-harvest,DF,Planting,0,4,3,13,Edge,Unscented,No predation,0
West,Pre-harvest,DF,Planting,0,4,3,13,Edge,Scented,Predation,1
West,Pre-harvest,DF,Planting,0,4,3,13,Edge,Unscented,Predation,1
West,Post-harvest,DF,Planting,20,5,3,14,Matrix,Scented,No predation,0
West,Post-harvest,DF,Planting,20,5,3,14,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Planting,20,5,3,14,Matrix,Scented,Predation,1
West,Pre-harvest,DF,Planting,20,5,3,14,Matrix,Unscented,No predation,0
West,Post-harvest,DF,Planting,200,7,3,15,Matrix,Scented,No predation,0
West,Post-harvest,DF,Planting,200,7,3,15,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Planting,200,7,3,15,Matrix,Scented,No predation,0
West,Pre-harvest,DF,Planting,200,7,3,15,Matrix,Unscented,Predation,1
West,Post-harvest,DF,Woody debris,200,1,4,6,Remnant,Scented,No predation,0
West,Post-harvest,DF,Woody debris,200,1,4,16,Remnant,Unscented,No predation,0
West,Pre-harvest,DF,Woody debris,200,1,4,16,Remnant,Scented,Predation,1
West,Pre-harvest,DF,Woody debris,200,1,4,16,Remnant,Unscented,Predation,1
West,Post-harvest,DF,Woody debris,20,3,4,17,Remnant,Scented,Predation,1
West,Post-harvest,DF,Woody debris,20,3,4,17,Remnant,Unscented,No predation,0
West,Pre-harvest,DF,Woody debris,20,3,4,17,Remnant,Scented,No predation,0
West,Pre-harvest,DF,Woody debris,20,3,4,17,Remnant,Unscented,No predation,0
West,Post-harvest,DF,Woody debris,0,4,4,18,Edge,Scented,Predation,1
West,Post-harvest,DF,Woody debris,0,4,4,18,Edge,Unscented,No predation,0
West,Pre-harvest,DF,Woody debris,0,4,4,18,Edge,Scented,Predation,1
West,Pre-harvest,DF,Woody debris,0,4,4,18,Edge,Unscented,Predation,1
West,Post-harvest,DF,Woody debris,20,5,4,19,Matrix,Scented,No predation,0
West,Post-harvest,DF,Woody debris,20,5,4,19,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Woody debris,20,5,4,19,Matrix,Scented,Predation,1
West,Pre-harvest,DF,Woody debris,20,5,4,19,Matrix,Unscented,No predation,0
West,Post-harvest,DF,Woody debris,200,7,4,20,Matrix,Scented,No predation,0
West,Post-harvest,DF,Woody debris,200,7,4,20,Matrix,Unscented,No predation,0
West,Pre-harvest,DF,Woody debris,200,7,4,20,Matrix,Scented,No predation,0
West,Pre-harvest,DF,Woody debris,200,7,4,20,Matrix,Unscented,No predation,0
East,Post-harvest,DR,Cropped,200,1,5,21,Remnant,Scented,No predation,0
East,Post-harvest,DR,Cropped,200,1,5,21,Remnant,Unscented,Predation,1
East,Pre-harvest,DR,Cropped,200,1,5,21,Remnant,Scented,No predation,0
East,Pre-harvest,DR,Cropped,200,1,5,21,Remnant,Unscented,No predation,0
East,Post-harvest,DR,Cropped,20,3,5,22,Remnant,Scented,No predation,0
East,Post-harvest,DR,Cropped,20,3,5,22,Remnant,Unscented,No predation,0
East,Pre-harvest,DR,Cropped,20,3,5,22,Remnant,Scented,No predation,0
East,Pre-harvest,DR,Cropped,20,3,5,22,Remnant,Unscented,No predation,0
East,Post-harvest,DR,Cropped,0,4,5,23,Edge,Scented,Predation,1
East,Post-harvest,DR,Cropped,0,4,5,23,Edge,Unscented,Predation,1
East,Pre-harvest,DR,Cropped,0,4,5,23,Edge,Scented,Predation,1
East,Pre-harvest,DR,Cropped,0,4,5,23,Edge,Unscented,No predation,0
East,Post-harvest,DR,Cropped,20,5,5,24,Matrix,Scented,No predation,0
East,Post-harvest,DR,Cropped,20,5,5,24,Matrix,Unscented,No predation,0
East,Pre-harvest,DR,Cropped,20,5,5,24,Matrix,Scented,Predation,1
East,Pre-harvest,DR,Cropped,20,5,5,24,Matrix,Unscented,Predation,1
East,Post-harvest,DR,Cropped,200,7,5,25,Matrix,Scented,Predation,1
East,Post-harvest,DR,Cropped,200,7,5,25,Matrix,Unscented,Predation,1
East,Pre-harvest,DR,Cropped,200,7,5,25,Matrix,Scented,No predation,0
East,Pre-harvest,DR,Cropped,200,7,5,25,Matrix,Unscented,No predation,0
East,Post-harvest,DR,Pasture,200,1,6,26,Remnant,Scented,Predation,1
East,Post-harvest,DR,Pasture,200,1,6,26,Remnant,Unscented,No predation,0
East,Pre-harvest,DR,Pasture,200,1,6,26,Remnant,Scented,No predation,0
East,Pre-harvest,DR,Pasture,200,1,6,26,Remnant,Unscented,Predation,1
East,Post-harvest,DR,Pasture,20,3,6,27,Remnant,Scented,No predation,0
East,Post-harvest,DR,Pasture,20,3,6,27,Remnant,Unscented,No predation,0
East,Pre-harvest,DR,Pasture,20,3,6,27,Remnant,Scented,Predation,1
East,Pre-harvest,DR,Pasture,20,3,6,27,Remnant,Unscented,Predation,1
East,Post-harvest,DR,Pasture,0,4,6,28,Edge,Scented,No predation,0
East,Post-harvest,DR,Pasture,0,4,6,28,Edge,Unscented,No predation,0
East,Pre-harvest,DR,Pasture,0,4,6,28,Edge,Scented,No predation,0
East,Pre-harvest,DR,Pasture,0,4,6,28,Edge,Unscented,No predation,0
East,Post-harvest,DR,Pasture,20,5,6,29,Matrix,Scented,No predation,0
East,Post-harvest,DR,Pasture,20,5,6,29,Matrix,Unscented,No predation,0
East,Pre-harvest,DR,Pasture,20,5,6,29,Matrix,Scented,Predation,1
East,Pre-harvest,DR,Pasture,20,5,6,29,Matrix,Unscented,Predation,1
East,Post-harvest,DR,Pasture,200,7,6,30,Matrix,Scented,No predation,0
East,Post-harvest,DR,Pasture,200,7,6,30,Matrix,Unscented,No predation,0
East,Post-harvest,DR,Pasture,200,7,6,30,Matrix,Scented,No predation,0
East,Post-harvest,DR,Pasture,200,7,6,30,Matrix,Unscented,No predation,0
East,Post-harvest,DR,Planting,200,1,7,31,Remnant,Scented,No predation,0
East,Post-harvest,DR,Planting,200,1,7,31,Remnant,Unscented,No predation,0
East,Pre-harvest,DR,Planting,200,1,7,31,Remnant,Scented,No predation,0
East,Pre-harvest,DR,Planting,200,1,7,31,Remnant,Unscented,No predation,0
East,Post-harvest,DR,Planting,20,3,7,32,Remnant,Scented,No predation,0
East,Post-harvest,DR,Planting,20,3,7,32,Remnant,Unscented,No predation,0
East,Pre-harvest,DR,Planting,20,3,7,32,Remnant,Scented,No predation,0
East,Pre-harvest,DR,Planting,20,3,7,32,Remnant,Unscented,No predation,0
East,Post-harvest,DR,Planting,0,4,7,33,Edge,Scented,Predation,1
East,Post-harvest,DR,Planting,0,4,7,33,Edge,Unscented,Predation,1
East,Pre-harvest,DR,Planting,0,4,7,33,Edge,Scented,Predation,1
East,Pre-harvest,DR,Planting,0,4,7,33,Edge,Unscented,Predation,1
East,Post-harvest,DR,Planting,20,5,7,34,Matrix,Scented,No predation,0
East,Post-harvest,DR,Planting,20,5,7,34,Matrix,Unscented,No predation,0
East,Pre-harvest,DR,Planting,20,5,7,34,Matrix,Scented,Predation,1
East,Pre-harvest,DR,Planting,20,5,7,34,Matrix,Unscented,Predation,1
East,Post-harvest,DR,Planting,200,7,7,35,Matrix,Scented,No predation,0
East,Post-harvest,DR,Planting,200,7,7,35,Matrix,Unscented,No predation,0
East,Pre-harvest,DR,Planting,200,7,7,35,Matrix,Scented,No predation,0
East,Pre-harvest,DR,Planting,200,7,7,35,Matrix,Unscented,No predation,0
East,Post-harvest,DR,Woody debris,200,1,8,36,Remnant,Scented,Predation,1
East,Post-harvest,DR,Woody debris,200,1,8,36,Remnant,Unscented,Predation,1
East,Pre-harvest,DR,Woody debris,200,1,8,36,Remnant,Scented,Predation,1
East,Pre-harvest,DR,Woody debris,200,1,8,36,Remnant,Unscented,Predation,1
East,Post-harvest,DR,Woody debris,20,3,8,37,Remnant,Scented,Predation,1
East,Post-harvest,DR,Woody debris,20,3,8,37,Remnant,Scented,No predation,0
East,Post-harvest,DR,Woody debris,20,3,8,37,Remnant,Unscented,Predation,1
East,Pre-harvest,DR,Woody debris,20,3,8,37,Remnant,Scented,No predation,0
East,Pre-harvest,DR,Woody debris,20,3,8,37,Remnant,Unscented,No predation,0
East,Post-harvest,DR,Woody debris,0,4,8,38,Edge,Scented,Predation,1
East,Post-harvest,DR,Woody debris,0,4,8,38,Edge,Unscented,Predation,1
East,Pre-harvest,DR,Woody debris,0,4,8,38,Edge,Scented,Predation,1
East,Pre-harvest,DR,Woody debris,0,4,8,38,Edge,Unscented,No predation,0
East,Post-harvest,DR,Woody debris,20,5,8,39,Matrix,Scented,Predation,1
East,Post-harvest,DR,Woody debris,20,5,8,39,Matrix,Unscented,Predation,1
East,Pre-harvest,DR,Woody debris,20,5,8,39,Matrix,Scented,No predation,0
East,Pre-harvest,DR,Woody debris,20,5,8,39,Matrix,Unscented,No predation,0
East,Post-harvest,DR,Woody debris,200,7,8,40,Matrix,Scented,No predation,0
East,Post-harvest,DR,Woody debris,200,7,8,40,Matrix,Unscented,No predation,0
East,Pre-harvest,DR,Woody debris,200,7,8,40,Matrix,Scented,No predation,0
East,Pre-harvest,DR,Woody debris,200,7,8,40,Matrix,Unscented,No predation,0
West,Post-harvest,GH,Cropped,200,1,9,41,Remnant,Scented,No predation,0
West,Post-harvest,GH,Cropped,200,1,9,41,Remnant,Unscented,No predation,0
West,Pre-harvest,GH,Cropped,200,1,9,41,Remnant,Scented,No predation,0
West,Pre-harvest,GH,Cropped,200,1,9,41,Remnant,Unscented,No predation,0
West,Post-harvest,GH,Cropped,20,3,9,42,Remnant,Scented,No predation,0
West,Post-harvest,GH,Cropped,20,3,9,42,Remnant,Unscented,No predation,0
West,Pre-harvest,GH,Cropped,20,3,9,42,Remnant,Scented,Predation,1
West,Pre-harvest,GH,Cropped,20,3,9,42,Remnant,Unscented,Predation,1
West,Post-harvest,GH,Cropped,0,4,9,43,Edge,Scented,Predation,1
West,Post-harvest,GH,Cropped,0,4,9,43,Edge,Unscented,Predation,1
West,Pre-harvest,GH,Cropped,0,4,9,43,Edge,Scented,No predation,0
West,Pre-harvest,GH,Cropped,0,4,9,43,Edge,Unscented,No predation,0
West,Post-harvest,GH,Cropped,20,5,9,44,Matrix,Scented,No predation,0
West,Post-harvest,GH,Cropped,20,5,9,44,Matrix,Unscented,No predation,0
West,Pre-harvest,GH,Cropped,20,5,9,44,Matrix,Scented,No predation,0
West,Pre-harvest,GH,Cropped,20,5,9,44,Matrix,Unscented,Predation,1
West,Post-harvest,GH,Cropped,200,7,9,45,Matrix,Scented,No predation,0
West,Post-harvest,GH,Cropped,200,7,9,45,Matrix,Unscented,No predation,0
West,Pre-harvest,GH,Cropped,200,7,9,45,Matrix,Scented,No predation,0
West,Pre-harvest,GH,Cropped,200,7,9,45,Matrix,Unscented,No predation,0
West,Post-harvest,GH,Planting,200,1,10,46,Remnant,Scented,No predation,0
West,Post-harvest,GH,Planting,200,1,10,46,Remnant,Unscented,No predation,0
West,Pre-harvest,GH,Planting,200,1,10,46,Remnant,Scented,No predation,0
West,Pre-harvest,GH,Planting,200,1,10,46,Remnant,Unscented,No predation,0
West,Post-harvest,GH,Planting,20,3,10,47,Remnant,Scented,No predation,0
West,Post-harvest,GH,Planting,20,3,10,47,Remnant,Unscented,No predation,0
West,Pre-harvest,GH,Planting,20,3,10,47,Remnant,Scented,No predation,0
West,Pre-harvest,GH,Planting,20,3,10,47,Remnant,Unscented,No predation,0
West,Post-harvest,GH,Planting,0,4,10,48,Edge,Scented,Predation,1
West,Post-harvest,GH,Planting,0,4,10,48,Edge,Unscented,Predation,1
West,Pre-harvest,GH,Planting,0,4,10,48,Edge,Scented,Predation,1
West,Pre-harvest,GH,Planting,0,4,10,48,Edge,Unscented,No predation,0
West,Post-harvest,GH,Planting,20,5,10,49,Matrix,Scented,No predation,0
West,Post-harvest,GH,Planting,20,5,10,49,Matrix,Unscented,No predation,0
West,Pre-harvest,GH,Planting,20,5,10,49,Matrix,Scented,Predation,1
West,Pre-harvest,GH,Planting,20,5,10,49,Matrix,Unscented,No predation,0
West,Post-harvest,GH,Planting,200,7,10,50,Matrix,Scented,No predation,0
West,Post-harvest,GH,Planting,200,7,10,50,Matrix,Unscented,No predation,0
West,Pre-harvest,GH,Planting,200,7,10,50,Matrix,Scented,No predation,0
West,Pre-harvest,GH,Planting,200,7,10,50,Matrix,Unscented,No predation,0
West,Post-harvest,GH,Woody debris,200,1,11,51,Remnant,Scented,No predation,0
West,Post-harvest,GH,Woody debris,200,1,11,51,Remnant,Unscented,No predation,0
West,Pre-harvest,GH,Woody debris,200,1,11,51,Remnant,Scented,No predation,0
West,Pre-harvest,GH,Woody debris,200,1,11,51,Remnant,Unscented,No predation,0
West,Post-harvest,GH,Woody debris,20,3,11,52,Remnant,Scented,No predation,0
West,Post-harvest,GH,Woody debris,20,3,11,52,Remnant,Unscented,No predation,0
West,Pre-harvest,GH,Woody debris,20,3,11,52,Remnant,Scented,No predation,0
West,Pre-harvest,GH,Woody debris,20,3,11,52,Remnant,Unscented,No predation,0
West,Post-harvest,GH,Woody debris,0,4,11,53,Edge,Scented,No predation,0
West,Post-harvest,GH,Woody debris,0,4,11,53,Edge,Unscented,No predation,0
West,Pre-harvest,GH,Woody debris,0,4,11,53,Edge,Scented,Predation,1
West,Pre-harvest,GH,Woody debris,0,4,11,53,Edge,Unscented,Predation,1
West,Post-harvest,GH,Woody debris,20,5,11,54,Matrix,Scented,No predation,0
West,Post-harvest,GH,Woody debris,20,5,11,54,Matrix,Unscented,No predation,0
West,Pre-harvest,GH,Woody debris,20,5,11,54,Matrix,Scented,Predation,1
West,Pre-harvest,GH,Woody debris,20,5,11,54,Matrix,Unscented,Predation,1
West,Post-harvest,GH,Woody debris,200,7,11,55,Matrix,Scented,No predation,0
West,Post-harvest,GH,Woody debris,200,7,11,55,Matrix,Unscented,No predation,0
West,Pre-harvest,GH,Woody debris,200,7,11,55,Matrix,Scented,No predation,0
West,Pre-harvest,GH,Woody debris,200,7,11,55,Matrix,Unscented,No predation,0
East,Post-harvest,IE,Cropped,200,1,12,56,Remnant,Scented,Predation,1
East,Post-harvest,IE,Cropped,200,1,12,56,Remnant,Unscented,Predation,1
East,Pre-harvest,IE,Cropped,200,1,12,56,Remnant,Scented,Predation,1
East,Pre-harvest,IE,Cropped,200,1,12,56,Remnant,Unscented,No predation,0
East,Post-harvest,IE,Cropped,20,3,12,57,Remnant,Scented,No predation,0
East,Post-harvest,IE,Cropped,20,3,12,57,Remnant,Unscented,No predation,0
East,Pre-harvest,IE,Cropped,20,3,12,57,Remnant,Scented,No predation,0
East,Pre-harvest,IE,Cropped,20,3,12,57,Remnant,Unscented,No predation,0
East,Post-harvest,IE,Cropped,0,4,12,58,Edge,Scented,No predation,0
East,Post-harvest,IE,Cropped,0,4,12,58,Edge,Unscented,Predation,1
East,Pre-harvest,IE,Cropped,0,4,12,58,Edge,Scented,Predation,1
East,Pre-harvest,IE,Cropped,0,4,12,58,Edge,Unscented,Predation,1
East,Post-harvest,IE,Cropped,20,5,12,59,Matrix,Scented,Predation,1
East,Post-harvest,IE,Cropped,20,5,12,59,Matrix,Unscented,No predation,0
East,Pre-harvest,IE,Cropped,20,5,12,59,Matrix,Scented,No predation,0
East,Pre-harvest,IE,Cropped,20,5,12,59,Matrix,Unscented,No predation,0
East,Post-harvest,IE,Cropped,200,7,12,60,Matrix,Scented,No predation,0
East,Post-harvest,IE,Cropped,200,7,12,60,Matrix,Unscented,No predation,0
East,Pre-harvest,IE,Cropped,200,7,12,60,Matrix,Scented,No predation,0
East,Pre-harvest,IE,Cropped,200,7,12,60,Matrix,Unscented,No predation,0
East,Post-harvest,IE,Pasture,200,1,13,61,Remnant,Scented,Predation,1
East,Post-harvest,IE,Pasture,200,1,13,61,Remnant,Unscented,Predation,1
East,Pre-harvest,IE,Pasture,200,1,13,61,Remnant,Scented,No predation,0
East,Pre-harvest,IE,Pasture,200,1,13,61,Remnant,Unscented,No predation,0
East,Post-harvest,IE,Pasture,20,3,13,62,Remnant,Scented,No predation,0
East,Post-harvest,IE,Pasture,20,3,13,62,Remnant,Unscented,No predation,0
East,Pre-harvest,IE,Pasture,20,3,13,62,Remnant,Scented,No predation,0
East,Pre-harvest,IE,Pasture,20,3,13,62,Remnant,Unscented,No predation,0
East,Post-harvest,IE,Pasture,0,4,13,63,Edge,Scented,Predation,1
East,Post-harvest,IE,Pasture,0,4,13,63,Edge,Unscented,No predation,0
East,Pre-harvest,IE,Pasture,0,4,13,63,Edge,Scented,No predation,0
East,Pre-harvest,IE,Pasture,0,4,13,63,Edge,Unscented,Predation,1
East,Post-harvest,IE,Pasture,20,5,13,64,Matrix,Scented,Predation,1
East,Post-harvest,IE,Pasture,20,5,13,64,Matrix,Unscented,Predation,1
East,Pre-harvest,IE,Pasture,20,5,13,64,Matrix,Scented,No predation,0
East,Pre-harvest,IE,Pasture,20,5,13,64,Matrix,Unscented,No predation,0
East,Post-harvest,IE,Pasture,200,7,13,65,Matrix,Scented,Predation,1
East,Post-harvest,IE,Pasture,200,7,13,65,Matrix,Unscented,Predation,1
East,Pre-harvest,IE,Pasture,200,7,13,65,Matrix,Scented,No predation,0
East,Pre-harvest,IE,Pasture,200,7,13,65,Matrix,Unscented,No predation,0
East,Post-harvest,IE,Planting,200,1,14,66,Remnant,Scented,Predation,1
East,Post-harvest,IE,Planting,200,1,14,66,Remnant,Unscented,Predation,1
East,Pre-harvest,IE,Planting,200,1,14,66,Remnant,Scented,Predation,1
East,Pre-harvest,IE,Planting,200,1,14,66,Remnant,Unscented,No predation,0
East,Post-harvest,IE,Planting,20,3,14,67,Remnant,Scented,No predation,0
East,Post-harvest,IE,Planting,20,3,14,67,Remnant,Unscented,No predation,0
East,Pre-harvest,IE,Planting,20,3,14,67,Remnant,Scented,No predation,0
East,Pre-harvest,IE,Planting,20,3,14,67,Remnant,Unscented,No predation,0
East,Post-harvest,IE,Planting,0,4,14,68,Edge,Scented,No predation,0
East,Post-harvest,IE,Planting,0,4,14,68,Edge,Unscented,No predation,0
East,Pre-harvest,IE,Planting,0,4,14,68,Edge,Scented,No predation,0
